video_titles,video_url,source
ACABA DE PASAR! GOBER AZUL TRAICIONA A PAN Y SUELTA LA SOPA! IMPACTANTE REVELACIÓN. GRAN NOTICIA,https://www.youtube.com/watch?v=M_StUURnG38,el chapucero today
TOTALMENTE INESPERADO! GRAN JUGADA DE OBRADOR DEJA HELADOS A OPOSITORES. ESTO ACABA DE PASAR. MEXICO,https://www.youtube.com/watch?v=iTNpKFi8S4c,el chapucero today
NO LO PUEDEN CREER! CORTE AMARRA MANOS A LORENZO! AMLO PREPARA SU FIN DEFINITIVO CON GRAN JUGADA.,https://www.youtube.com/watch?v=F8xjJkF81cc,el chapucero today
"ESTO ACABA DE PASAR! EXHIBEN A MARGARA, SACAN PRUEBAS DEL FRAUDE! FELIPE NO LO PUEDE CREER SE HUNDEN",https://www.youtube.com/watch?v=Ujjvd8YdkMI,el chapucero today
ESTO ACABA DE PASAR! ANUNCIO DE OBRADOR SACUDE A TODO MEXICO. ESTA DECISIÓN CAMBIARÁ EL RUMBO,https://www.youtube.com/watch?v=BrpnbGjpJJY,el chapucero today
DE ULTIMO MOMENTO! INE ANUNCIA RECUENTO MASIVO! AMLO ENVIA AL EJERCITO. DECISIÓN LOS DEJÓ HELADOS,https://www.youtube.com/watch?v=TgsbcLUb8xY,el chapucero today
DE ULTIMO MOMENTO! NO VAS A CREER LO QUE DIJO SAMUEL GARCIA A AMLO! SANTIAGO ENCONTRÓ SUS MILLONES,https://www.youtube.com/watch?v=8jrLudS9Bw0,el chapucero today
"DE ULTIMO MOMENTO! CABEZA DE VACA PERDIÓ ELECCIÓN, MORENA LO PUEDE CORRER! SE ACABÓ NOTICIA MEXICO",https://www.youtube.com/watch?v=sM6QJq2rKBA,el chapucero today
DE ULTIMO MOMENTO! 4T SUPERO RECORD DEL 2018! MEXICO APOYA OBRADOR. EL TIGRE RUGIÓ. GRAN NOTICIA.,https://www.youtube.com/watch?v=6ZQ4o-SjNnk,el chapucero today
"DE ULTIMO MOMENTO! MORENA ANUNCIA TRIUNFOS, YA TIENEN LOS DATOS. SE ACABÓ! GRAN NOTICIA. MEXICO",https://www.youtube.com/watch?v=YycUJOW0Imo,el chapucero today
"DE ULTIMO MOMENTO! OBRADOR TOMA EL CONTROL, GN DESARMA A POLIS ANTES DE ELECCIONES. GRAN NOTICIA.",https://www.youtube.com/watch?v=rcoZe5riJug,el chapucero today
"DE ULTIMO MOMENTO! CAE CANDIDATO CON BILLETIZA, ERA PARA VOTOS. GN LE CUMPLE A OBRADOR. GRAN NOTICIA",https://www.youtube.com/watch?v=73-g3tUGRro,el chapucero today
ESTO DE ULTIMA HORA! OBRADOR LOS PARA EN SECO! QUERÍAN MAS LANA DE EEUU! NO LO ESPERABAN. MEXICO,https://www.youtube.com/watch?v=4KsZInIW4IU,el chapucero today
ESTO DE ULTIMA HORA! INE ORDENA BAJAR MAÑANERAS! NO LO VAS A CREER. NOTICIA. MEXICO,https://www.youtube.com/watch?v=60nPdE5wi1Q,el chapucero today
AMLO NO LO PODIA CREER! FUNCIONARIO DE LA 4T LO TRAICIONÓ! YA RENUNCIO. NOTICIA INESPERADA. MEXICO,https://www.youtube.com/watch?v=l48_syl-hHw,el chapucero today
IMPACTANTE ANUNCIO! AMLO PERDIÓ LA PACIENCIA Y SUBIÓ DE TONO SU RECLAMO! NO LO VAS A CREER. MEXICO,https://www.youtube.com/watch?v=s5SIvcGC7PI,el chapucero today
IMPACTANTE ANUNCIO! AMLO RECIBIO GRAN NOTICIA EN SABADO! ESTA DECISIÓN CAMBIARÁ TODO. MEXICO,https://www.youtube.com/watch?v=855nth6swrc,el chapucero today
IMPACTANTE REVELACIÓN! GOBER DE TAMAULIPAS ORDENÓ DE IR POR MARIO. PONE A PRUEBA A AMLO. MEXICO,https://www.youtube.com/watch?v=8CXynaWfAhM,el chapucero today
IMPACTANTE REVELACIÓN! AMLO PRENDE LA ALERTA Y ALISTA A LA GUARDIA! ESTO CAMBIARÁ TODO. MEXICO,https://www.youtube.com/watch?v=aePVCHNoTWE,el chapucero today
NO LO VAS A CREER! TRIBUNAL ORDERNA CASTIGAR A AMLO! NADIE LO ESPERABA. ESTO DE ULTIMA HORA. MEXICO,https://www.youtube.com/watch?v=xTnpX0kYYOA,el chapucero today
PERDIÓ LA CABEZA! GOBER TAMAULIPAS PONE A PRUEBA A AMLO. ESPERA IMPORTANTE DECISIÓN. NOTICIA MEXICO,https://www.youtube.com/watch?v=VbjcfyMRdx0,el chapucero today
"ESTO DE ULTIMA HORA! AMLO SORPRENDE EN TEXAS, NADIE SABÍA DE SU PLAN! 4T CUMPLE! GRAN NOTICIA MEXICO",https://www.youtube.com/watch?v=rUK2DqhonN0,el chapucero today
LORENZO DE HUNDE SOLO! LE FALLA PLAN EN EL INE. AMLO LO EXHIBE! ESTO CAMBIARA TODO. NOTICIA MEXICO,https://www.youtube.com/watch?v=ADXh9Is20r0,el chapucero today
